refId-ignore,uid,name,phone,email,address,city,Wt_Attribute_Match,Wt_Attribute_Score,id,,
CA522562-8375-CC03-D8B2-42ABACEA92BA,base432,Freya Y. Cervantes,5578185026,a.arcu@outlook.org,905-8770 Malesuada Rd.,Aurora,"[431, 1206]","[3.0, 1.0]",1477,,
F2E2AF62-0375-7215-F8B8-CBB9BBD86EEE,base267,Jennifer Stuart,8986426583,a.dui@aol.com,638-3501 Dis Street,South Bend,"[266, 1412]","[3.0, 1.0]",1292,,
597CD62B-EF36-2805-98B2-C3FA9373D262,base1678,"Todd, Whitney D.",1-548-546-3835,a.enim@google.com,729-2696 Nam Rd.,Bellevue,"[1677, 2177, 2677]","[3.0, 2.5, 1.5]",783,,
597CD62B-EF36-2805-98B2-C3FA9373D262,defaults178,"Todd, Whitney D.",1-548-546-3835,a.enim@google.com,,,"[1677, 2177, 2677]","[2.5, 2.5, 1.5]",783,,
8D7760F4-3CC2-3E2E-BCC1-756812272763,base1318,Malik T. Vincent,(952) 645-5685,a.facilisis.non@outlook.org,"P.O. Box 810, 5325 Non Road",Eugene,[1317],[2.0],348,,
D1FBAED7-0149-1761-B2F2-541AC8FB3FAF,base791,"Mcdonald, Cedric",(823) 524-6611,a.facilisis.non@yahoo.com,201-8905 Diam St.,Jackson,[790],[3.0],1880,,
3AEA4FEE-64C9-DE09-5CBC-4515B41D38DA,base1907,"Bentley, Mariko",1-490-542-9335,a.facilisis@hotmail.com,235-761 Ligula Road,Lafayette,"[1906, 2406, 2906]","[3.0, 1.5, 1.5]",1088,,
3AEA4FEE-64C9-DE09-5CBC-4515B41D38DA,defaults407,"Bentley, Mariko",000-000-0000,a.facilisis@hotmail.com,,,"[1906, 2406]","[1.5, 1.5]",1089,,
31A52CD3-2312-E67E-A7DE-A73A67581D78,base537,Seth W. Mclaughlin,1-272-664-4372,a.felis@google.com,5990 Lobortis Av.,Huntsville,[536],[3.0],1593,,
69B41D65-4098-2EC6-FDF1-C1317F85DD7A,base1745,"Herman, Doris",1-678-735-0551,a.felis@yahoo.com,879-3407 Nec St.,Memphis,"[1617, 1744, 2117, 2244, 2744]","[1.0, 3.0, 1.0, 2.5, 1.5]",700,,
69B41D65-4098-2EC6-FDF1-C1317F85DD7A,defaults245,"Herman, Doris",1-678-735-0551,a.felis@yahoo.com,,,"[1617, 1744, 2117, 2244, 2744]","[1.0, 2.5, 1.0, 2.5, 1.5]",700,,
CE389894-3496-CDAC-2475-09E081D81C59,base161,Ora I. Velazquez,(134) 855-4555,a.magna@outlook.org,"Ap #102-146 Purus, Rd.",Kailua,[160],[3.0],689,,
7D3AD963-A42B-CAE6-9E4B-435BFAACD690,base1783,"Rowland, Macaulay H.",8325483448,a.malesuada@hotmail.com,"608-7397 Eget, Ave",Baltimore,"[1782, 2282, 2782]","[3.0, 2.5, 1.5]",922,,
7D3AD963-A42B-CAE6-9E4B-435BFAACD690,defaults283,"Rowland, Macaulay H.",8325483448,a.malesuada@hotmail.com,,,"[1782, 2282, 2782]","[2.5, 2.5, 1.5]",922,,
453E7B6B-1B39-5BAB-38DD-5C765EB26729,base1120,Hadassah P. Bond,(298) 973-5555,a.malesuada@icloud.com,Ap #968-4391 Mauris. Rd.,Jonesboro,[1119],[3.0],130,,
9BE3767E-E8AA-8B61-D014-857AD84AA7D0,base1968,Ori F. Spence,1809520709,a.nunc@aol.com,Ap #507-6570 Iaculis Rd.,Los Angeles,"[1967, 2467, 2967]","[3.0, 2.5, 1.5]",1173,,
9BE3767E-E8AA-8B61-D014-857AD84AA7D0,defaults468,Ori F. Spence,1809520709,a.nunc@aol.com,,,"[1967, 2467, 2967]","[2.5, 2.5, 1.5]",1173,,
77568000-88D7-3C94-A77B-8AC4E2A379CE,base1206,Alan Levine,(355) 782-3546,a.purus@icloud.com,Ap #696-2199 Interdum. Road,Iowa City,[1205],[3.0],224,,
5388B8A9-794D-351D-37AB-9478E861E99A,base154,"Robinson, Emerson K.",(778) 731-8662,a.purus@protonmail.com,738-1759 At Rd.,Mobile,[153],[3.0],593,,
B40E39F6-4494-582D-2EE4-F0E1A9D7930D,base798,"Heath, Christine",5289176642,a.scelerisque@icloud.com,"Ap #797-2530 Non, Ave",Gulfport,"[797, 1738, 2238]","[3.0, 1.0, 1.0]",1888,,
74473792-2748-CDA3-8DD6-D2168D5A4AFC,base384,Ifeoma O. Cook,1-553-378-8725,a.sollicitudin.orci@yahoo.ca,769-7364 Velit Rd.,Anchorage,[383],[3.0],1424,,
7A546C5C-E65D-142E-6B80-18F6C8A94C20,base1090,"Davidson, Lysandra",1-437-414-8015,a.sollicitudin@aol.ca,"772-3871 Vestibulum, Rd.",Georgia,[1089],[3.0],95,,
ED83C421-A13C-781E-9A39-4817C4B2E29A,base1504,Brooke Daniel,(827) 378-0698,a.sollicitudin@yahoo.com,"Ap #184-8239 Non, Rd.",Great Falls,"[1503, 1520, 2003, 2020, 2503]","[3.0, 1.0, 2.5, 1.0, 1.5]",549,,
ED83C421-A13C-781E-9A39-4817C4B2E29A,defaults4,Brooke Daniel,(827) 378-0698,a.sollicitudin@yahoo.com,,,"[1503, 1520, 2003, 2020, 2503]","[2.5, 1.0, 2.5, 1.0, 1.5]",549,,
BBFE4FA0-68E5-7783-2ACC-EFE1563BF73F,base1503,"Combs, Gemma",3365354515,a.tortor.nunc@yahoo.com,Ap #745-825 Eget Road,Indianapolis,"[1502, 2002, 2502]","[3.0, 2.5, 1.5]",548,,
BBFE4FA0-68E5-7783-2ACC-EFE1563BF73F,defaults3,"Combs, Gemma",3365354515,a.tortor.nunc@yahoo.com,,,"[1502, 2002, 2502]","[2.5, 2.5, 1.5]",548,,
E8BDFE6B-B237-A21C-D742-E37A634CE3A1,base224,Reese Norman,1-748-887-6251,a.tortor@google.com,"P.O. Box 974, 952 Lectus Rd.",Racine,[223],[3.0],1243,,
D5625BCC-342D-AE1A-302E-BFC79D5DEFA8,base1076,"Christensen, Sybil F.",1-934-531-5267,a@aol.org,9506 Sit Street,Springdale,[1075],[3.0],80,,
A6D65B7D-3E2E-492B-4DC3-99116DB7B8FC,base461,"Shepard, Owen R.",8488172451,a@google.couk,456-6249 Ridiculus Road,Austin,[460],[3.0],1509,,
152BF475-D58E-CA0B-36E3-59654CC2AC11,base1495,Dolan A. Stout,(377) 334-2051,a@hotmail.com,Ap #920-9424 Lorem St.,Fresno,[1494],[3.0],538,,
763ECFE7-D4B8-48E2-B227-FE07119FE42A,base877,Erin Hunt,1-762-965-9068,a@outlook.com,"P.O. Box 627, 7991 Purus Rd.",Phoenix,[876],[3.0],1975,,
AD77A69C-A8DA-814E-FE31-1ACC61FD3289,base1077,Chadwick Lester,(677) 823-8601,a@protonmail.net,5456 Morbi St.,Aurora,[1076],[3.0],81,,
848684B8-114E-6E2E-34CD-93972AA136E6,base327,"Raymond, Naida J.",(565) 764-7179,a@yahoo.couk,9751 Integer Rd.,Portland,[326],[3.0],1361,,
35EE6B66-D35F-A414-D5B3-64C421A849A4,base231,"Hayes, Meredith M.",1-956-571-4225,a@yahoo.org,Ap #475-6548 A St.,Allentown,[230],[3.0],1251,,
16664118-092D-B7EE-6A48-D772E117C809,base474,Haley G. Sharpe,(603) 687-4451,ac.facilisis.facilisis@outlook.com,989-5493 Nec Ave,Spokane,[473],[3.0],1523,,
0C8771F5-144A-EDCF-2FCC-C5F29A8E618B,base233,"Stark, Thaddeus",(641) 272-0583,ac.facilisis@google.couk,Ap #971-228 Nisi Avenue,Kansas City,[232],[3.0],1253,,
C1796254-7B74-E892-A115-2CB7031220B1,base1327,Ashton H. Mayo,1-106-384-5973,ac.facilisis@protonmail.net,309-1215 Ullamcorper Avenue,Norman,[1326],[3.0],358,,
785F5696-662E-DE4A-5143-A974D7CB3175,base1273,Reese Ratliff,(717) 795-5827,ac.facilisis@yahoo.ca,411-9427 Et Rd.,St. Petersburg,[1272],[3.0],297,,
